t,bounce_id,x,y,vx,vy,event
0.000000000000,0,0.000000000000,0.000000000000,0.600000000000,0.900000000000,segment_start
1.155546862388,1,0.693328117433,1.039992176149,0.600000000000,0.900000000000,collision
1.155546862388,1,0.693328117433,1.039992176149,-0.831023803326,-0.692386769303,segment_end
0.000000000000,0,0.000000000000,0.000000000000,0.600000000000,NaN,poincare
1.155546862388,1,0.693328117433,1.039992176149,-0.831023803326,-0.692386769303,segment_start
3.245629936228,2,-1.043580667857,-0.407153690921,-0.831023803326,-0.692386769303,collision
3.245629936228,2,-1.043580667857,-0.407153690921,1.080919133562,-0.040172461947,segment_end
2.657586217064,1,-0.554902339835,0.000000000000,-0.831023803326,NaN,poincare
3.245629936228,2,-1.043580667857,-0.407153690921,1.080919133562,-0.040172461947,segment_start
5.136521108549,3,1.000319779789,-0.483115444587,1.080919133562,-0.040172461947,collision
5.136521108549,3,1.000319779789,-0.483115444587,-0.353816874381,1.022161249218,segment_end
5.136521108549,3,1.000319779789,-0.483115444587,-0.353816874381,1.022161249218,segment_start
6.777999427015,4,0.419537051785,1.194740083981,-0.353816874381,1.022161249218,collision
6.777999427015,4,0.419537051785,1.194740083981,-0.839341036895,-0.682280458305,segment_end
5.609162235334,3,0.833091373605,0.000000000000,-0.353816874381,NaN,poincare
6.777999427015,4,0.419537051785,1.194740083981,-0.839341036895,-0.682280458305,segment_start
8.654880446918,5,-1.155806209589,-0.085819158463,-0.839341036895,-0.682280458305,collision
8.654880446918,5,-1.155806209589,-0.085819158463,1.081655119826,-0.004711873784,segment_end
8.529097629283,4,-1.050231529012,0.000000000000,-0.839341036895,NaN,poincare
8.654880446918,5,-1.155806209589,-0.085819158463,1.081655119826,-0.004711873784,segment_start
10.812178486430,6,1.177646259839,-0.095984074539,1.081655119826,-0.004711873784,collision
10.812178486430,6,1.177646259839,-0.095984074539,-1.039933508270,0.297553857943,segment_end
10.812178486430,6,1.177646259839,-0.095984074539,-1.039933508270,0.297553857943,segment_start
13.033583942662,7,-1.132467709552,0.565003689018,-1.039933508270,0.297553857943,collision
13.033583942662,7,-1.132467709552,0.565003689018,0.963455893243,-0.491683578916,segment_end
11.134755633313,6,0.842187475793,0.000000000000,-1.039933508270,NaN,poincare
13.033583942662,7,-1.132467709552,0.565003689018,0.963455893243,-0.491683578916,segment_start
15.224212746894,8,0.978106521793,-0.512092521523,0.963455893243,-0.491683578916,collision
15.224212746894,8,0.978106521793,-0.512092521523,-0.698238230973,0.826113414010,segment_end
14.182704460911,7,-0.025340774199,0.000000000000,0.963455893243,NaN,poincare
15.224212746894,8,0.978106521793,-0.512092521523,-0.698238230973,0.826113414010,segment_start
17.206513889051,9,-0.406011920963,1.125513042620,-0.698238230973,0.826113414010,collision
17.206513889051,9,-0.406011920963,1.125513042620,-0.096118635927,-1.077386285335,segment_end
15.844094367067,8,0.545281475911,0.000000000000,-0.698238230973,NaN,poincare
17.206513889051,9,-0.406011920963,1.125513042620,-0.096118635927,-1.077386285335,segment_start
19.251509515301,10,-0.602574111035,-1.077737198670,-0.096118635927,-1.077386285335,collision
19.251509515301,10,-0.602574111035,-1.077737198670,0.960006988906,0.498383969698,segment_end
18.251183807298,9,-0.506424168499,0.000000000000,-0.096118635927,NaN,poincare
19.251509515301,10,-0.602574111035,-1.077737198670,0.960006988906,0.498383969698,segment_start
21.091539425506,11,1.163867462559,-0.160695787660,0.960006988906,0.498383969698,collision
21.091539425506,11,1.163867462559,-0.160695787660,-0.568346871068,0.920316159886,segment_end
21.091539425506,11,1.163867462559,-0.160695787660,-0.568346871068,0.920316159886,segment_start
21.296127555985,12,1.047590438743,0.027589974941,-0.568346871068,0.920316159886,collision
21.296127555985,12,1.047590438743,0.027589974941,0.366020087541,-1.017855242909,segment_end
21.266148755065,11,1.064628796445,0.000000000000,-0.568346871068,NaN,poincare
21.296127555985,12,1.047590438743,0.027589974941,0.366020087541,-1.017855242909,segment_start
21.550059085754,13,1.140534479499,-0.230875563975,0.366020087541,-1.017855242909,collision
21.550059085754,13,1.140534479499,-0.230875563975,-0.953521101550,-0.510683374410,segment_end
21.323233546874,12,1.057511775901,0.000000000000,0.366020087541,NaN,poincare
21.550059085754,13,1.140534479499,-0.230875563975,-0.953521101550,-0.510683374410,segment_start
23.292642890670,14,-0.521055949708,-1.120784141661,-0.953521101550,-0.510683374410,collision
23.292642890670,14,-0.521055949708,-1.120784141661,-0.369841643980,1.016472900956,segment_end
23.292642890670,14,-0.521055949708,-1.120784141661,-0.369841643980,1.016472900956,segment_start
24.948549372931,15,-1.133479125384,0.562399924075,-0.369841643980,1.016472900956,collision
24.948549372931,15,-1.133479125384,0.562399924075,0.960577701444,0.497283097932,segment_end
24.395263669450,14,-0.928851031218,0.000000000000,-0.369841643980,NaN,poincare
24.948549372931,15,-1.133479125384,0.562399924075,0.960577701444,0.497283097932,segment_start
26.282618693003,16,0.147998115657,1.225810048416,0.960577701444,0.497283097932,collision
26.282618693003,16,0.147998115657,1.225810048416,0.991846229623,-0.431556551084,segment_end
26.282618693003,16,0.147998115657,1.225810048416,0.991846229623,-0.431556551084,segment_start
26.917923761492,17,0.778123052498,0.951639984173,0.991846229623,-0.431556551084,collision
26.917923761492,17,0.778123052498,0.951639984173,0.242656065437,-1.054095837155,segment_end
26.917923761492,17,0.778123052498,0.951639984173,0.242656065437,-1.054095837155,segment_start
28.161798324072,18,1.079956759751,-0.359523014185,0.242656065437,-1.054095837155,collision
28.161798324072,18,1.079956759751,-0.359523014185,-1.023507637777,-0.349903008579,segment_end
