radius,mass,log_radius,log_mass
67.1349,2522.0155,1.8269,3.4017
68.9464,2618.1040,1.8385,3.4180
70.8067,2698.1083,1.8501,3.4311
72.7172,2780.8409,1.8616,3.4442
74.6793,2857.8517,1.8732,3.4560
76.6943,2929.6072,1.8848,3.4668
78.7637,2998.4391,1.8963,3.4769
80.8889,3072.5574,1.9079,3.4875
83.0715,3135.0038,1.9195,3.4962
85.3130,3200.8856,1.9310,3.5053
87.6149,3239.3791,1.9426,3.5105
89.9790,3270.6847,1.9541,3.5146
92.4068,3308.9500,1.9657,3.5197
94.9002,3347.8020,1.9773,3.5248
97.4608,3382.9903,1.9888,3.5293
100.0905,3415.3577,2.0004,3.5334
102.7912,3444.7471,2.0120,3.5372
105.5647,3466.5178,2.0235,3.5399
108.4131,3486.8918,2.0351,3.5424
111.3383,3500.3383,2.0466,3.5441
114.3425,3501.0000,2.0582,3.5442
117.4277,3501.0000,2.0698,3.5442
120.5962,3501.0000,2.0813,3.5442
123.8502,3501.0000,2.0929,3.5442
127.1919,3501.0000,2.1045,3.5442
130.6239,3501.0000,2.1160,3.5442
134.1484,3501.0000,2.1276,3.5442
137.7680,3501.0000,2.1391,3.5442
141.4853,3501.0000,2.1507,3.5442
145.3029,3501.0000,2.1623,3.5442
149.2236,3501.0000,2.1738,3.5442
153.2500,3501.0000,2.1854,3.5442
157.3850,3501.0000,2.1970,3.5442
161.6316,3501.0000,2.2085,3.5442
165.9928,3501.0000,2.2201,3.5442
170.4717,3501.0000,2.2317,3.5442
175.0714,3501.0000,2.2432,3.5442
179.7952,3501.0000,2.2548,3.5442
184.6465,3501.0000,2.2663,3.5442
189.6287,3501.0000,2.2779,3.5442
194.7453,3501.0000,2.2895,3.5442
200.0000,3501.0000,2.3010,3.5442
